,Unnamed: 0,created,username,Unnamed: 3,type,dist,climb
221,,2022-10-5 10:33 pmOct 5,JordonFiske,,,15 miles,887 ft
222,,2022-10-5 10:24 pmOct 5,Hooten,,AM,8 miles,723 ft
223,,2022-10-5 10:13 pmOct 5,haram3,,,5 miles,425 ft
224,,2022-10-5 10:11 pmOct 5,Treeman12,,,9 miles,797 ft
225,,2022-10-5 10:07 pmOct 5 s,Jbangen,,,12 miles,854 ft
226,,2022-10-5 10:06 pmOct 5 s,vitaliykondratyuk,,,12 miles,903 ft
227,,2022-10-5 10:01 pmOct 5 s,jjbikeman,,,12 miles,925 ft
228,,2022-10-5 9:34 pmOct 5,chuckMPLS,,,17 miles,522 ft
229,,2022-10-5 9:21 pmOct 5,Dayander,,,16 miles,959 ft
230,,2022-10-5 6:37 pmOct 5,Pinktassles,,,11 miles,913 ft
231,,2022-10-5 5:34 pmOct 5,enorcrove,,,4 miles,354 ft
232,,2022-10-5 5:31 pmOct 5 s,CoryMecl,,,16 miles,"1,410 ft"
233,,2022-10-5 4:55 pmOct 5,icebvrg,,RD,33 miles,"1,268 ft"
234,,2022-10-5 4:45 pmOct 5 s,lunchbox87,,,13 miles,941 ft
235,,2022-10-4 10:50 pmOct 4 s,JhruIb,,,9 miles,657 ft
236,,2022-10-4 10:50 pmOct 4 s,ShoobyBrew,,,9 miles,673 ft
237,,2022-10-4 10:43 pmOct 4,peternoren,,,17 miles,635 ft
238,,2022-10-4 10:38 pmOct 4 s,jjlafrance,,,11 miles,677 ft
239,,2022-10-4 10:35 pmOct 4,Jfotsch,,,7 miles,538 ft
240,,2022-10-4 10:35 pmOct 4 s,dgus77,,,10 miles,608 ft
241,,2022-10-4 10:34 pmOct 4 s,mikehalvio,,XC,10 miles,674 ft
242,,2022-10-4 10:32 pmOct 4,Mfriggens,,,6 miles,615 ft
243,,2022-10-4 10:26 pmOct 4,Ehmjaysee,,,10 miles,871 ft
244,,2022-10-4 10:23 pmOct 4,Sponh001,,,26 miles,640 ft
245,,2022-10-4 10:09 pmOct 4,Giraffable,,,14 miles,548 ft
246,,2022-10-4 10:09 pmOct 4,Eddie427,,,6 miles,523 ft
247,,2022-10-4 10:05 pmOct 4,Dayander,,,12 miles,619 ft
248,,2022-10-4 10:05 pmOct 4,Treeman12,,,10 miles,864 ft
249,,2022-10-4 9:58 pmOct 4 s,ijp11,,,13 miles,969 ft
250,,2022-10-4 9:52 pmOct 4,DavidHx9B4T,,,6 miles,387 ft
251,,2022-10-4 9:52 pmOct 4,DanLUbws7,,,10 miles,736 ft
252,,2022-10-4 9:38 pmOct 4,Rydevries,,,16 miles,908 ft
253,,2022-10-4 9:11 pmOct 4 s,Seyore,,,14 miles,808 ft
254,,2022-10-4 5:37 pmOct 4,pfickle19,,,37 miles,"1,324 ft"
255,,2022-10-4 5:32 pmOct 4 s,Briscoelab,,,20 miles,941 ft
